State,County,Total Equip Quantity,Total Cost,Mil Equip Quantity,Total Mil Cost
GA,PAULDING,36,8312.0,16.0,7984.0
GA,PEACH,136,192581.62,64.0,25830.5
GA,PICKENS,36,238995.7,29.0,238995.7
GA,PIERCE,2,50000.0,2.0,50000.0
GA,PIKE,14,2785.71,13.0,2727.0
GA,POLK,157,420937.98,13.0,121022.4
GA,PULASKI,6,271.15,6.0,271.15
GA,QUITMAN,90,2644.33,3.0,378.0
GA,RABUN,1532,321346.41,45.0,136296.0
GA,RICHMOND,2712,1680831.96,103.0,1372329.6
GA,ROCKDALE,43,128863.04000000001,34.0,128487.0
GA,SCHLEY,15,84218.70999999999,2.0,69722.0
GA,SEMINOLE,15,3240.6800000000003,7.0,2771.0
GA,SPALDING,66,57797.6,66.0,57797.6
GA,STEPHENS,20,3411.1,10.0,2824.0
GA,STEWART,90,840991.98,13.0,110453.2
GA,SUMTER,1696,1055340.06,29.0,58689.2
GA,TALBOT,4,1996.0,4.0,1996.0
GA,TALIAFERRO,1,138.0,1.0,138.0
GA,TATTNALL,15,27264.3,14.0,27264.3
GA,TAYLOR,83,11169.66,1.0,138.0
GA,TELFAIR,1825,1230781.51,19.0,60849.6
GA,TERRELL,950,1133078.29,13.0,154395.0
GA,THOMAS,71,90020.25,51.0,39842.0
GA,TOOMBS,30,7985.0,30.0,7985.0
GA,TOWNS,4,393.42,2.0,276.0
GA,TROUP,81,160764.43,17.0,126656.0
GA,TWIGGS,126,60979.24999999999,15.0,49115.1
GA,UNION,241,5561.07,6.0,2994.0
GA,UPSON,19,2745.13,16.0,2569.0
GA,WALKER,138,331006.28,25.0,318169.7
GA,WALTON,11202,717841.82,544.0,355158.38
GA,WARE,412,1174647.02,39.0,785503.5
GA,WARREN,24,3416.81,13.0,2771.0
GA,WASHINGTON,2462,704132.64,48.0,235881.11
GA,WAYNE,57,25194.0,57.0,25194.0
GA,WEBSTER,526,336095.23,16.0,126371.70999999999
GA,WHITE,6,1911.0,6.0,1911.0
GA,WHITFIELD,12,5048.71,10.0,4990.0
GA,WILKES,4,1274.0,4.0,1274.0
GA,WILKINSON,50,152521.88,26.0,80485.0
GA,WORTH,420,309053.36,27.0,200826.1
GU,GUAM,24121,5354822.2,103.0,770039.0
HI,HONOLULU,18,521054.41000000003,11.0,512000.0
IA,ALLAMAKEE,2,276.0,2.0,276.0
IA,APPANOOSE,17,1201.15,17.0,1201.15
IA,BENTON,2,998.0,2.0,998.0
IA,BLACK HAWK,26,12974.0,26.0,12974.0
IA,BOONE,16,2938.39,7.0,2410.0
IA,BREMER,10,2788.0,10.0,2788.0
IA,BUCHANAN,1,138.0,1.0,138.0
IA,BUENA VISTA,425,1550591.0,90.0,1509384.71
IA,BUTLER,13,3960.0,13.0,3960.0
