State,County,Ship Date,Total Equip Quantity,Total Cost
AL,CALHOUN,2012-02-13 00:00:00,10,18.81
AL,CALHOUN,2012-02-15 00:00:00,34,11462.72
AL,CALHOUN,2012-02-16 00:00:00,1,8954.0
AL,CALHOUN,2012-02-17 00:00:00,61,10606.57
AL,CALHOUN,2012-02-18 00:00:00,4,276.99
AL,CALHOUN,2012-02-25 00:00:00,694,18609.34
AL,CALHOUN,2012-02-27 00:00:00,140,61.84
AL,CALHOUN,2012-02-29 00:00:00,236,22278.2
AL,CALHOUN,2012-03-08 00:00:00,319,126563.81
AL,CALHOUN,2012-03-14 00:00:00,1,70613.0
AL,CALHOUN,2012-03-22 00:00:00,1,70996.0
AL,CALHOUN,2012-03-24 00:00:00,239,40557.53
AL,CALHOUN,2012-04-01 00:00:00,126,366.68
AL,CALHOUN,2012-04-06 00:00:00,17,20289.67
AL,CALHOUN,2012-04-07 00:00:00,244,1545375.31
AL,CALHOUN,2012-04-13 00:00:00,1,18448.0
AL,CALHOUN,2012-04-16 00:00:00,52,741.76
AL,CALHOUN,2012-04-17 00:00:00,5,91.46
AL,CALHOUN,2012-04-20 00:00:00,324,24471.46
AL,CALHOUN,2012-04-23 00:00:00,9,7819.0
AL,CALHOUN,2012-04-24 00:00:00,329,535.61
AL,CALHOUN,2012-05-02 00:00:00,1,18000.0
AL,CALHOUN,2012-05-03 00:00:00,322,1125010.4600000002
AL,CALHOUN,2012-05-04 00:00:00,64,7800.0
AL,CALHOUN,2012-05-14 00:00:00,2,25.69
AL,CALHOUN,2012-05-15 00:00:00,12,45.0
AL,CALHOUN,2012-05-17 00:00:00,544,101913.49
AL,CALHOUN,2012-05-24 00:00:00,93,15639.26
AL,CALHOUN,2012-06-08 00:00:00,119,25733.989999999998
AL,CALHOUN,2012-06-16 00:00:00,3,9275.0
AL,CALHOUN,2012-06-23 00:00:00,22,859.0
AL,CALHOUN,2012-06-25 00:00:00,6,23675.4
AL,CALHOUN,2012-06-29 00:00:00,1,3000.0
AL,CALHOUN,2012-06-30 00:00:00,41,12010.49
AL,CALHOUN,2012-07-03 00:00:00,5,47730.0
AL,CALHOUN,2012-07-07 00:00:00,1,85025.0
AL,CALHOUN,2012-07-12 00:00:00,44,18095.07
AL,CALHOUN,2012-07-14 00:00:00,396,5142.12
AL,CALHOUN,2012-07-17 00:00:00,1,193058.0
AL,CALHOUN,2012-07-18 00:00:00,243,1361.76
AL,CALHOUN,2012-07-20 00:00:00,2,8893.4
AL,CALHOUN,2012-07-21 00:00:00,63,13.61
AL,CALHOUN,2012-07-25 00:00:00,162,12825.27
AL,CALHOUN,2012-07-27 00:00:00,1,44722.0
AL,CALHOUN,2012-07-28 00:00:00,23,1314.05
AL,CALHOUN,2012-07-31 00:00:00,452,7260.07
AL,CALHOUN,2012-08-01 00:00:00,2,1750.0
AL,CALHOUN,2012-08-02 00:00:00,16,761.59
AL,CALHOUN,2012-08-04 00:00:00,14,25005.94
AL,CALHOUN,2012-08-13 00:00:00,1,85025.0
AL,CALHOUN,2012-08-15 00:00:00,19,3094.5
AL,CALHOUN,2012-08-17 00:00:00,1,25000.0
AL,CALHOUN,2012-08-23 00:00:00,8,276.23
AL,CALHOUN,2012-08-29 00:00:00,2,95978.0
AL,CALHOUN,2012-09-13 00:00:00,17,2012.82
AL,CALHOUN,2012-10-22 00:00:00,1,65.88
AL,CALHOUN,2012-10-23 00:00:00,20,1517.67
AL,CALHOUN,2012-10-29 00:00:00,6,7.85
AL,CALHOUN,2012-11-01 00:00:00,22,14559.7
AL,CALHOUN,2012-11-04 00:00:00,20,6.18
AL,CALHOUN,2012-11-09 00:00:00,31,30365.72
AL,CALHOUN,2012-11-10 00:00:00,35,3.25
